chunk_id,source_file,start_page,end_page,heading,chunk_index,word_count,text
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p2-2::s0002::recommendation-1::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,2,2,Recommendation 1,1,240,"Recommendation 1 Suspect COPD in any patient with at least one relevant symptom and risk factor. A thorough history-taking is important for establishing COPD diagnosis and should include: • Past medical history (for example, early life events, respiratory disease, respiratory infections in childhood, history of exacerbations or previous hospitalisations for respiratory disorder), and existing comorbidities; • Family history of COPD or other chronic respiratory disease; and • COPD risk factors and symptoms (see Figure 1). The index of suspicion for COPD should be raised when the patient presents with chronic unexplained dyspnoea or reduced effort tolerance that tends to worsen over time, chronic cough with or without sputum production, or inspiratory/expiratory wheezing. Symptoms may vary from day-to-day and can be under-reported by patients, who often attribute them to ageing, smoker's cough, or other disorders. COPD risk factors include tobacco smoking, environmental or occupational sources of lung irritants, history of severe childhood infections, pulmonary tuberculosis, abnormal lung development, and age 40 or more years. Rare risk factors of COPD include genetic components, such as alpha-1 antitrypsin deficiency. In the absence of risk factors, COPD is unlikely. However, exercise clinical judgement in light of individual patient circumstances, and consider spirometry testing if suspicion of COPD remains high after exploring differential diagnoses (see section “Differential diagnoses of COPD” on page 4). Figure 1 provides an overview of the diagnosis and management of COPD, including COPD symptoms and risk factors commonly available from history-taking."
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p2-3::s0003::recommendation-2::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,2,3,Recommendation 2,1,272,"Recommendation 2 Diagnose COPD in patients with relevant symptoms and risk factors who have airflow obstruction detected via spirometry (post-bronchodilator FEV1/FVC <0.7). There are three key factors required for COPD diagnosis (see Figure 2): • COPD risk factor(s); • COPD symptom(s); and • Concordant spirometry findings. Ensuring that all three components are met prior to diagnosis increases the ability to differentiate COPD from other similar respiratory conditions, including asthma. Once COPD is suspected based on the presence of relevant risk factors and symptoms, spirometry is required for diagnosis for all patients, except for those with active respiratory infectious disease like tuberculosis, heart disease, or other contraindications to the test.1 COPD is characterised by persistent, and often progressive airflow limitation, which is defined as spirometry value of FEV1/FVC <0.70. Post-bronchodilator FEV1/FVC <0.70 in patients with pertinent risk factors and symptoms confirms COPD.1,8 Spirometry findings are to be interpreted in the overall context of patient presentation, including symptoms and risk factors. For example, the fixed FEV1/FVC cut-off alone might result in overdiagnosis of COPD in the elderly. Refer to the supplementary guide on “Interpreting spirometry reports” for examples that elucidate the importance of assessing a history of symptoms and risk factors. Figure 2. Components of COPD diagnosis Risk factors (e.g., Tobacco smoking and exposure to other lung irritants, 40 years and older) Symptoms (e.g., Chronic cough, chronic sputum production, chronic dyspnoea, wheezing, frequent upper and lower respiratory tract infections) Airway obstruction Post-bronchodilator spirometry FEV1/FVC <0.70 Diagnosis of COPD FEV1/FVC, Ratio between the forced expiratory volume in one second (FEV1) and forced vital capacity (FVC) 3 Figure 1. Overview of diagnosis and management of COPD1,9"
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p3-3::s0004::recommendation-1::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,3,3,Recommendation 1:,1,85,"Recommendation 1: Consider COPD with at least one risk factor and symptom present. Risk factors • Tobacco smoking (Current or ex-smoker) • Environmental exposure (e.g., second-hand smoke, air pollution) • Occupational exposure, history of severe childhood infections, or pulmonary tuberculosis • Age 40 or more years Symptoms • Chronic cough • Chronic sputum production (May be intermittent) • Chronic unexplained dyspnoea / reduced effort tolerance • Wheezing (May be exertional or nocturnal) • Frequent lower respiratory tract infections Diagnosis Perform spirometry. Post-bronchodilator FEV1/FVC <0.7? Yes"
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p3-3::s0007::recommendation-4::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,3,3,Recommendation 4:,1,47,Recommendation 4: Advise on smoking cessation for smokers. • Ask all patients about smoking • Act to help all smokers quit Pharmacotherapy Recommendations 5-7: Start bronchodilator treatment depending on symptoms and risk of exacerbations (refer to Figure 4). Non-pharmacological strategies • Vaccinations • Exercise and pulmonary rehabilitation
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p3-3::s0008::recommendation-8::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,3,3,Recommendation 8:,1,49,"Recommendation 8: Assess inhaler technique and medication adherence at every visit. * Consider management decisions in the context of overall patient health status, circumstances, and concurrent conditions (e.g. heart failure, hypertension, cardiovascular disease). FEV1/FVC, Ratio between the forced expiratory volume in one second (FEV1) and forced vital capacity (FVC)"
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p4-4::s0009::practice-point-on-spirometry::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,4,4,Practice point on spirometry,1,293,"Practice point on spirometry • While peak flow meters may help to identify patients who potentially have COPD, spirometry is required to confirm a diagnosis.¹⁰,¹¹ • Spirometry may be performed at pulmonary function laboratories or in clinics using HSA-approved portable office spirometers using the same post-bronchodilator testing criteria. • If an HSA-approved portable office spirometer is used, ensure it can calculate the post-bronchodilator FEV1/FVC. In conducting the spirometry test ensure to use the appropriate procedures and refer to the product guide for more information. • For more information on interpreting spirometry reports, scan or click the QR code for more information. • If spirometry is not available onsite, consider referring the patient to an open-access spirometry laboratory in Singapore (scan or click the QR code for more information). Differential diagnoses of COPD Due to similarities in symptoms, these differential diagnoses should be considered when assessing a patient presenting with symptoms and risk factors suggestive of COPD.¹ • Asthma • Congestive heart failure • Bronchiectasis • Tuberculosis • Obliterative bronchiolitis • Diffuse panbronchiolitis Further investigations such as chest X-ray forms part of the initial assessment of a patient presenting with respiratory symptoms suggestive of COPD, for assessing comorbidities, or excluding alternative diagnoses.¹ COPD and asthma The clinical presentations of COPD and asthma can be similar, and differentiating between the two conditions is necessary to provide the appropriate treatment. COPD treatment is centred on using inhaled bronchodilators (beta₂-agonists and antimuscarinics), and inhaled corticosteroids play a targeted role.¹ In contrast, controller therapy in asthma is anchored on inhaled corticosteroids.¹² In most cases, a detailed history of symptoms and risk factors, and objective spirometry test results can separate COPD from asthma (see Table 1). Knowing if a patient has more asthma or COPD features increases diagnostic accuracy.¹²"
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p5-6::s0010::table-1-features-favouring-copd-or-asthma::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,5,6,Table 1. Features favouring COPD or asthma⁷,1,459,"Table 1. Features favouring COPD or asthma⁷ | Feature | More likely to be COPD | More likely to be asthma | |---------------------------|----------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------| | Age of onset | 40 or more years of age | Less than 40 years, but can manifest at any age | | Pattern of respiratory | • Symptoms persist despite treatment | • Symptoms may vary over minutes, hours, or days | | symptoms | • Days with stable and unstable symptoms but consistent daily symptoms and exertional dyspnoea | • Symptoms worsen at night or early morning | | | • Chronic cough or sputum may precede onset of dyspnoea, unrelated to triggers | • Symptoms often triggered by exercise, temperature change, dust, or allergen exposure | | History, family history, | • Previously diagnosed with COPD, chronic bronchitis, or emphysema by a doctor | • Previously diagnosed with asthma by a doctor | | or risk factors | • Exposure to risk factors such as tobacco smoke or history of severe childhood infections or pulmonary tuberculosis | • History of other allergic conditions (for example, allergic rhinitis, eczema, allergic conjunctivitis, or childhood wheeze) | | | • Family history of asthma and other allergic conditions (for example, allergic rhinitis or eczema) | | Time course | • Symptoms slowly worsening over time (progressive course over years) | • Symptoms do not worsen progressively; they vary seasonally, or from year to year | | | • Rapid-acting bronchodilator treatment provides only transient relief | • May improve spontaneously or have an immediate response to bronchodilator or to inhaled corticosteroids over weeks | | Lung function | Abnormal | • Record of variable airflow limitation (spirometry, peak flow) | | | | • Persistent expiratory airflow limitation may be present | | Lung function between | • Record of post-bronchodilator FEV₁/FVC <0.70 | Often normal | | symptoms | • Persistent expiratory airflow limitation | | | Chest X-ray | Hyperinflated lung fields (in some patients) [this finding is not required for diagnosis of COPD] | Normal | FEV₁/FVC, Ratio between the forced expiratory volume in one second (FEV₁) and forced vital capacity (FVC) In some cases, it may be challenging to distinguish between COPD and asthma. Some patients may have features of both asthma and COPD which is characterised by persistent airflow limitation with clinical features that are consistent with both conditions.¹˒¹² If a concurrent diagnosis of asthma is suspected, the pharmacotherapy options should follow asthma guidelines.¹ If the distinction between COPD and asthma is unclear, consider a trial of asthma treatment first. For information on asthma assessment and management scan or click the QR code to see the ACG “Asthma – optimising long-term management with inhaled corticosteroid”. Initial and ongoing COPD assessment"
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p6-6::s0011::recommendation-3-regularly-assess-symptoms-and-exacerbation-::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,6,6,Recommendation 3 Regularly assess symptoms and exacerbation risk for all patients with COPD.,1,194,"Recommendation 3 Regularly assess symptoms and exacerbation risk for all patients with COPD. Regular assessment for patients with COPD13 includes evaluating their current symptoms by checking: • Frequency and intensity of symptoms; • Use of reliever medications; and • Impact on activities of daily living. Symptoms assessment should be conducted at least yearly, and more frequently for patients who are more symptomatic, have more frequent exacerbations, or have recent escalation in treatment. Questionnaires are available to guide COPD symptoms assessment. For example, the COPD Assessment Test (CAT)14 is a validated 8-item questionnaire that was developed (translated and validated for use in many languages) to assess the health status in patients with COPD. The Modified British Medical Research Council (mMRC) dyspnoea scale,15 although simple to use, was developed to measure breathlessness, which may not account for the other symptoms of COPD. In addition to symptoms, the history of exacerbations due to COPD informs the patient’s risk of future exacerbations.16 Patients with COPD are at increased risk of future exacerbations if they had: • Two or more exacerbations requiring antibiotics or steroids in the previous year; or • One leading to hospitalisation in the previous year.1"
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p6-6::s0012::acute-exacerbation-of-copd::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,6,6,Acute exacerbation of COPD,1,185,"Acute exacerbation of COPD A COPD exacerbation is defined as an event characterised by dyspnoea and/or cough and sputum that worsens in <14 days which may be accompanied by tachypnoea and/or tachycardia and is often associated with increased local and systemic inflammation caused by infection, pollution, or other insults to the airways.9 Differential diagnoses that may present similarly should be excluded, such as pneumonia, congestive heart failure, or pulmonary embolism.1 Treatment of COPD acute exacerbations should be initiated with short-acting inhaled beta2-agonists with or without antimuscarinics. Consider additional therapy with systemic corticosteroids or antibiotics where indicated.1 Patients who should be considered for treatment in the tertiary setting include those with severe signs and symptoms, unstable vitals (for example, respiratory rate ≥24 breaths/minute, heart rate ≥95 beats/minute, resting oxygen saturation <92% on room air and/or change >3% [when known]), serious comorbidities, or those who fail to respond to initial treatment.1 After the episode, check blood eosinophils levels to guide the adjustment of maintenance therapy as necessary (see Figure 4). Additionally, provide patients with an exacerbation action plan, or discuss and agree changes to the existing one."
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p7-7::s0013::management-of-stable-copd::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,7,7,Management of stable COPD,1,117,"Management of stable COPD The main goals in managing stable COPD are reducing symptoms and risk of future exacerbations.¹ Both pharmacological and non-pharmacological measures are important to achieve COPD management goals, and reduce associated morbidity and mortality. Choice of COPD long-term treatment is based on individualised symptom and exacerbation risk assessment. A stepwise approach to add or change inhaler medication classes is recommended for patients with persistent symptoms or further exacerbations. Patients with COPD often coexist with other comorbidities such as cardiovascular diseases, heart failure, and hypertension.¹ Although the presence of comorbidities generally does not alter COPD treatment, clinicians should consider management decisions in the context of overall patient health status, circumstances, and concurrent conditions. Smoking cessation"
